
Time, Event 
4/24/2021 6:55:23 PM -04:00, Is not blocking a face
4/24/2021 6:55:23 PM -04:00, Moved down
4/24/2021 6:55:23 PM -04:00, Made Opaque
4/24/2021 6:55:23 PM -04:00, Glanceable Session Started
4/24/2021 6:55:23 PM -04:00, Manual override time out
4/24/2021 6:55:23 PM -04:00, Not mentioned
4/24/2021 6:55:23 PM -04:00, Is not blocking a face
4/24/2021 6:55:23 PM -04:00, Moved down
4/24/2021 6:55:23 PM -04:00, Made Opaque
4/25/2021 4:11:41 PM -04:00, Glanceable Session Started
4/25/2021 4:11:41 PM -04:00, Manual override time out
4/25/2021 4:11:41 PM -04:00, Not mentioned
4/25/2021 4:11:41 PM -04:00, Is not blocking a face
4/25/2021 4:11:41 PM -04:00, Moved down
4/25/2021 4:11:41 PM -04:00, Made Opaque
4/25/2021 4:11:41 PM -04:00, Glanceable Session Started
4/25/2021 4:11:41 PM -04:00, Manual override time out
4/25/2021 4:11:41 PM -04:00, Not mentioned
4/25/2021 4:11:41 PM -04:00, Is not blocking a face
4/25/2021 4:11:41 PM -04:00, Moved down
4/25/2021 4:11:41 PM -04:00, Made Opaque
4/25/2021 4:11:49 PM -04:00, ACI Session Started
4/25/2021 4:11:49 PM -04:00, Manual override time out
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Is not blocking a face
4/25/2021 4:11:49 PM -04:00, Moved down
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:49 PM -04:00, Not mentioned
4/25/2021 4:11:49 PM -04:00, Made Translucent
4/25/2021 4:11:50 PM -04:00, Not mentioned
4/25/2021 4:11:50 PM -04:00, Made Translucent
4/25/2021 4:11:50 PM -04:00, Not mentioned
4/25/2021 4:11:50 PM -04:00, Made Translucent
4/25/2021 4:11:50 PM -04:00, Not mentioned
4/25/2021 4:11:50 PM -04:00, Made Translucent
4/25/2021 4:11:50 PM -04:00, Not mentioned
4/25/2021 4:11:50 PM -04:00, Made Translucent
4/25/2021 4:11:50 PM -04:00, Not mentioned
4/25/2021 4:11:50 PM -04:00, Made Translucent
4/25/2021 4:11:50 PM -04:00, Not mentioned
4/25/2021 4:11:50 PM -04:00, Made Translucent
4/25/2021 4:11:50 PM -04:00, Not mentioned
4/25/2021 4:11:50 PM -04:00, Made Translucent
4/25/2021 4:11:50 PM -04:00, Not mentioned
4/25/2021 4:11:50 PM -04:00, Made Translucent
4/25/2021 4:11:50 PM -04:00, Not mentioned
4/25/2021 4:11:50 PM -04:00, Made Translucent
4/25/2021 4:11:50 PM -04:00, Not mentioned
4/25/2021 4:11:50 PM -04:00, Made Translucent
4/25/2021 4:11:50 PM -04:00, Not mentioned
4/25/2021 4:11:50 PM -04:00, Made Translucent
4/25/2021 4:11:50 PM -04:00, Not mentioned
4/25/2021 4:11:50 PM -04:00, Made Translucent
4/25/2021 4:11:50 PM -04:00, Not mentioned
4/25/2021 4:11:50 PM -04:00, Made Translucent
4/25/2021 4:11:50 PM -04:00, Not mentioned
4/25/2021 4:11:50 PM -04:00, Made Translucent
4/25/2021 4:11:50 PM -04:00, Not mentioned
